,Unnamed: 0,Airline,Flight Number,Date of Departure,From,To,Duration,Total Stops,Price
422,422.0,Air Asia,I5-552/798,"Tue, Feb 15",Bangalore,Goa,21h 35m,1 Stop,"4,761"
423,423.0,Air Asia,I5-588/1782,"Tue, Feb 15",New Delhi,Goa,7h 50m,1 Stop,"4,761"
424,424.0,Air Asia,I5-2991/818,"Tue, Feb 15",Bangalore,Goa,8h 55m,1 Stop,"4,761"
425,425.0,Air Asia,I5-2473/972,"Tue, Feb 15",New Delhi,Goa,9h 00m,1 Stop,"4,761"
426,426.0,Air Asia,I5-1563/818,"Tue, Feb 15",Bangalore,Goa,9h 30m,1 Stop,"4,761"
427,427.0,Air Asia,I5-2473/1782,"Tue, Feb 15",New Delhi,Goa,9h 50m,1 Stop,"4,761"
428,428.0,IndiGo,6E-496/905,"Tue, Feb 15",Bangalore,Goa,9h 50m,1 Stop,"4,762"
429,429.0,IndiGo,6E-496/793,"Tue, Feb 15",New Delhi,Goa,12h 50m,1 Stop,"4,762"
430,430.0,IndiGo,6E-759,"Tue, Feb 15",Bangalore,Chennai,1h 45m,1 Stop,"2,966"
431,431.0,IndiGo,6E-271,"Tue, Feb 15",New Delhi,Chennai,2h 00m,Non Stop,"2,966"
432,432.0,IndiGo,6E-566,"Thu, Apr 21",Bangalore,Chennai,1h 40m,1 Stop,"2,966"
433,433.0,IndiGo,6E-294,"Thu, Apr 21",New Delhi,Chennai,1h 40m,1 Stop,"2,966"
434,434.0,Air Asia,I5-360,"Thu, Apr 21",Bangalore,Chennai,1h 45m,1 Stop,"2,966"
435,435.0,IndiGo,6E-563,"Thu, Apr 21",New Delhi,Chennai,1h 45m,1 Stop,"2,966"
436,436.0,IndiGo,6E-417,"Thu, Apr 21",Bangalore,Chennai,1h 50m,Non Stop,"2,966"
437,437.0,IndiGo,6E-192,"Thu, Apr 21",New Delhi,Chennai,1h 50m,Non Stop,"2,966"
438,438.0,Air India,AI-765,"Thu, Apr 21",Bangalore,Chennai,1h 55m,Non Stop,"2,966"
439,439.0,Air Asia,I5-556,"Thu, Apr 21",New Delhi,Chennai,2h 00m,Non Stop,"2,966"
440,440.0,SpiceJet,SG-406/531,"Thu, Apr 21",Bangalore,Pune,1h 30m,Non Stop,"4,445"
441,441.0,IndiGo,6E-716/436,"Thu, Apr 21",Lucknow,Pune,3h 10m,Non Stop,"4,608"
442,442.0,IndiGo,6E-345/528,"Wed, Mar 23",Bangalore,Pune,4h 35m,Non Stop,"4,709"
443,443.0,IndiGo,6E-6128/528,"Wed, Mar 23",Lucknow,Pune,5h 05m,Non Stop,"4,709"
444,444.0,Air India,AI-768/853,"Wed, Mar 23",Bangalore,Pune,6h 45m,Non Stop,"4,873"
445,445.0,Air India,AI-770/851,"Wed, Mar 23",Lucknow,Pune,7h 45m,Non Stop,"4,873"
446,446.0,Air India,AI-768/851,"Wed, Mar 23",Bangalore,Pune,8h 05m,Non Stop,"4,873"
447,447.0,Air India,AI-402/851,"Wed, Mar 23",Lucknow,Pune,9h 50m,Non Stop,"4,873"
448,448.0,Air India,AI-763/851,"Wed, Mar 23",Bangalore,Pune,10h 15m,1 Stop,"4,873"
449,449.0,Air India,AI-770/853,"Wed, Mar 23",Lucknow,Pune,12h 00m,1 Stop,"4,873"
450,450.0,IndiGo,6E-725,"Wed, Mar 23",Bangalore,Hyderabad,6h 50m,1 Stop,"2,436"
451,451.0,Air India,AI-526,"Wed, Mar 23",Lucknow,Hyderabad,9h 00m,1 Stop,"2,436"
452,452.0,IndiGo,6E-563/591,"Thu, Mar 24",Bangalore,Hyderabad,10h 00m,1 Stop,"2,436"
453,453.0,IndiGo,6E-417/193,"Thu, Mar 24",Lucknow,Hyderabad,5h 05m,1 Stop,"2,436"
454,454.0,IndiGo,6E-294/6217,"Thu, Mar 24",Bangalore,Hyderabad,10h 55m,1 Stop,"2,436"
455,455.0,IndiGo,6E-139/5312,"Thu, Mar 24",Lucknow,Hyderabad,2h 25m,2 Stop(s),"2,436"
456,456.0,IndiGo,6E-139/354,"Thu, Mar 24",Bangalore,Hyderabad,10h 00m,1 Stop,"2,436"
457,457.0,IndiGo,6E-417/6217,"Thu, Mar 24",Lucknow,Hyderabad,11h 05m,1 Stop,"2,436"
458,458.0,IndiGo,6E-563/6006,"Thu, Mar 24",Bangalore,Hyderabad,6h 00m,,"2,436"
459,459.0,IndiGo,6E-566/495,"Thu, Mar 24",Lucknow,Hyderabad,7h 10m,,"2,436"
460,460.0,SpiceJet,SG-3229,"Thu, Mar 24",Bangalore,Bagdogra,1h 00m,1 Stop,"2,059"
461,461.0,SpiceJet,SG-4027,"Thu, Mar 24",Guwahati,Bagdogra,1h 05m,1 Stop,"2,059"
462,462.0,IndiGo,6E-6891,"Thu, Mar 3",Bangalore,Bagdogra,1h 10m,1 Stop,"2,061"
463,463.0,IndiGo,6E-751,"Thu, Mar 3",Guwahati,Bagdogra,1h 10m,,"2,061"
464,464.0,Air Asia,I5-582,"Thu, Mar 3",Bangalore,Bagdogra,1h 10m,,"2,061"
465,465.0,Go First,G8-538,"Thu, Mar 3",Guwahati,Bagdogra,1h 10m,,"2,061"
466,466.0,IndiGo,6E-211,"Thu, Mar 3",Bangalore,Bagdogra,1h 15m,1 Stop,"2,061"
467,467.0,IndiGo,6E-6785,"Thu, Mar 3",Guwahati,Bagdogra,1h 20m,2 Stops,"2,061"
